,x,y,z,r,g,b,inlinear_idx
44,-0.09951335570234579,0.25607955451313513,1.2217670198582955,57.0,88.5,125.5,254.0
45,0.31366848137177605,0.2154712536736701,1.3545234983683712,32.5,14.5,122.5,257.0
46,0.05114047568015293,0.30058888637456016,1.2290392637669194,73.5,50.5,21.0,261.0
47,0.19005939772998248,0.06967785865384066,1.4165747594123077,15.5,125.5,103.5,263.0
48,-0.2510427754619729,-0.5003428705440458,1.0591154194627619,30.5,118.5,5.0,271.0
49,0.1155966259113476,0.19693970389086846,1.3156310041429942,22.0,118.0,56.0,274.0
50,0.2989485768409528,-0.36469545929665953,1.3584488249357662,48.0,42.5,76.0,276.0
51,0.03756499018076933,-0.24130496005170643,1.2947067540104364,105.5,69.5,44.5,278.0
52,0.10998432430738961,-0.4706615254612865,1.2301573106326618,53.0,51.5,65.5,280.0
53,0.1894203365412415,-0.4816251536900876,1.2605803250280674,84.0,82.5,60.0,281.0
54,0.12487819840071127,-0.15601518258149089,1.3683461345574484,48.5,7.0,33.0,283.0
55,-0.00031534889238821315,0.2969453110125115,1.2183112490244696,84.0,45.5,36.5,289.0
56,0.03174405770823811,-0.17028711211071432,1.3226516221131785,59.0,18.5,32.0,292.0
57,-0.15439405868698325,0.4247149899477901,1.0949565693986592,6.0,99.0,26.0,298.0
58,-0.04890297891806733,0.24679146337544178,1.2408209371671801,58.5,19.0,124.5,299.0
59,0.3038677977916366,0.21688327503851493,1.3510500537771846,29.0,8.0,115.5,300.0
60,0.2896371572039542,-0.4087457099108179,1.3382309143708813,59.5,26.5,35.0,310.0
61,-0.05206863543941244,0.3874823882102332,1.145185546823781,73.5,67.0,5.5,321.0
62,0.07769436106493352,0.3778183787144341,1.1856341360826832,62.5,44.0,30.5,323.0
63,-0.19064356519049047,0.2683202933041725,1.1913385756533026,65.0,49.0,34.5,339.0
64,0.4064239138550291,0.11660099957623662,1.4430755337228862,33.5,14.5,122.0,343.0
65,0.27494297253248096,0.27392459427381977,1.3049350962782382,21.5,2.0,120.5,344.0
66,0.31293137079850186,0.3475695879525415,1.2647398444310094,63.5,47.5,34.0,345.0
67,0.3873430466954233,0.11649758054269548,1.4386139750365297,72.5,55.5,40.5,351.0
68,0.1253424516498902,-0.3394404812409341,1.2920664883627586,74.0,29.5,95.0,357.0
69,0.27494297253248096,0.27392459427381977,1.3049350962782382,21.5,2.0,120.5,361.0
70,0.3100074553804093,0.18369475590398812,1.3744516756763097,71.5,87.5,35.0,368.0
71,0.11312623854293168,-0.4122607527438954,1.2563044406233013,116.5,103.5,16.5,369.0
72,-0.042771923627073064,-0.453583888150103,1.169692964895534,64.0,30.5,41.0,372.0
73,0.29136632818390407,0.17422447870580987,1.3763055304143836,87.5,100.5,52.5,375.0
74,-0.12383734748114889,0.41967588526379,1.1071803140631336,58.0,42.5,27.0,378.0
75,-0.0486986675841106,-0.4479019300410752,1.1703142171354786,124.0,15.5,28.5,379.0
