,x,y,z,r,g,b
27,0.45598877737163906,0.7554539419882244,1.9842871557296855,116.0,61.0,13.0
28,0.026001734638606902,0.3779750025048083,1.1335405169789983,105.0,54.0,11.0
29,0.09413622650341574,-0.1346166083709126,1.2200339492922334,122.5,70.5,46.0
30,0.23245833064664292,-0.03425237756725229,1.5480136400521078,35.5,22.5,28.0
31,1.0379082228612622,1.0143072476052348,3.217914241741681,37.5,111.5,68.0
32,0.15031345676651342,1.0518111849957635e-05,1.3736926949713482,22.0,10.0,14.0
33,0.2967092706487163,0.6517134374672944,1.657431956644976,41.5,113.5,67.5
34,0.9346263222524078,0.8986258734865457,3.0238933808976327,22.0,96.0,52.5
35,-0.020499785577364364,0.26452292924284865,1.0658879151214784,111.5,62.0,27.0
36,0.021884706150952723,0.011987783956659528,1.10644063712447,10.5,0.5,1.0
37,0.047699520252931824,0.049372889555810796,1.1677922316716662,126.5,119.0,100.0
38,0.290335525187531,0.6064893644944306,1.65769673076435,110.5,58.0,14.5
39,0.9340470141875077,0.9080318817488718,3.019380932770519,79.0,22.0,100.0
40,0.5602626369526932,0.9443557333217873,2.1589418288792586,125.0,73.0,41.5
41,0.32957568257719344,0.6842766061229186,1.721089116385739,2.5,75.5,37.0
42,0.1594149974053506,0.004732847763362122,1.3940841886298478,13.5,118.5,118.5
43,0.12061465577325178,-0.10659191936127999,1.2820116769505223,5.0,0.5,9.0
44,0.021809590661985106,0.40752261395213674,1.1138089527416204,89.5,40.0,123.5
45,1.2000782803016987,1.1588175639704499,3.541944708837446,83.5,32.0,116.5
46,-0.024483557250512458,0.007713831470528984,1.0132859006778208,104.5,117.5,86.0
47,0.08468234312279402,0.35970770013521514,1.2721197128570232,93.0,41.0,121.5
48,0.19883608550568388,0.5207578542281113,1.4778522027943468,119.0,57.0,9.5
49,1.7216810598666645,1.3544106376793406,4.661628953848981,118.0,63.5,17.0
50,-0.007892515404433675,0.32939550711650945,1.0724745878671909,88.5,41.5,1.5
51,0.8644573025011336,0.9815534897301301,2.837584736399578,121.0,65.5,21.5
52,0.06929975329346519,0.466530775156869,1.202042129694944,74.5,12.5,99.5
53,0.7578763552587057,1.0382206173683848,2.5771323453921178,89.5,41.0,1.5
54,0.011524079259316214,0.3917684993128208,1.0961698599558898,3.5,76.0,31.5
55,0.2937462910466276,0.696802971396789,1.6357844902727208,121.0,69.0,23.5
56,0.08465140802388256,0.01448021082221958,1.2372307757798742,29.5,14.0,17.0
57,0.4952380334199394,0.7813769250845733,2.064187937276905,111.0,54.5,7.5
58,0.10517899200614887,-0.1366799635960958,1.24263407574121,9.0,5.0,4.0
59,0.7748189286756578,1.0543638491049538,2.609588107786581,79.5,31.0,120.5
