,x,y,z,r,g,b,inlinear_idx
977,0.025428532055056643,0.3880207681527843,1.1287460521651766,18.5,94.5,50.0,1801.0
978,-0.011743425353897784,0.3589517993494542,1.0542541720567289,101.5,52.5,8.0,1805.0
979,-0.013068621689202392,0.1428276409171229,1.0716420770078925,7.5,15.0,6.0,1806.0
980,-0.018233663136650584,0.10453618690025686,1.0509766812081343,36.5,12.5,5.0,1807.0
981,-0.03359819213184866,0.16691671293917576,1.037614669255475,1.0,8.5,1.0,1808.0
982,0.051862383173592826,0.07698875322524597,1.1819794745011718,16.0,127.0,0.5,1810.0
983,0.017282557166065596,0.111681703361543,1.122324087550141,39.5,13.5,3.5,1811.0
984,-0.01510035789440087,0.10269266769999619,1.0568481227860862,12.5,118.5,107.5,1813.0
985,0.06050373022929604,-0.018077688928255304,1.1773736337574974,9.0,4.5,1.5,1816.0
986,0.23378234188743421,0.4074709855843595,1.5953877029708483,120.0,63.0,14.5,1817.0
987,-0.01982784016809338,-0.020902056541651746,1.0150515734579635,121.0,114.0,113.0,1818.0
988,-0.03015482385738639,0.31992055732544317,1.0256402092583492,85.5,39.0,0.5,1819.0
989,0.17127078458119302,0.0029413635226876417,1.4193792920422776,31.5,5.5,4.5,1823.0
990,-0.01974032932331116,0.09318157269700758,1.0449336447962392,10.5,117.0,108.5,1824.0
991,0.15105680423610296,0.5066934241887548,1.3742108065076422,110.5,58.0,18.5,1825.0
992,0.2979301547130211,0.6433020181810692,1.662165138052527,113.5,57.0,6.0,1826.0
993,0.430445567932856,0.7644351214776598,1.9233210886907544,113.5,57.5,15.5,1828.0
994,0.17864284923723053,-7.024346857586355e-06,1.4349925076469578,39.5,15.0,11.5,1829.0
995,0.590182310001142,1.0060212828814958,2.2058832839255396,116.5,63.5,21.5,1830.0
996,0.20631394830289887,0.5601254668480319,1.4819401558763516,22.0,97.0,54.0,1831.0
997,0.03909486837828667,0.058262422422725724,1.1528604057090996,107.0,90.0,79.5,1832.0
998,0.18277905962124458,-0.004902827414483046,1.4427446121050436,21.5,3.5,5.5,1833.0
999,0.284818403577927,0.6366535863069591,1.6348952644667718,126.0,73.0,30.0,1834.0
1000,0.12781550634741293,0.20743750857927942,1.376824083471982,48.5,22.5,21.5,1836.0
1001,0.6378160053022007,0.9254027352503836,2.341112509669607,35.5,109.5,61.5,1837.0
1002,0.05011234907294893,0.11429794737762301,1.1890148605259592,13.0,117.0,103.0,1839.0
1003,0.06916973658141384,0.03250869839671395,1.208221215059896,4.0,108.5,104.5,1841.0
1004,-0.018304827039086417,0.16411475228182426,1.066563609679418,2.0,7.0,1.0,1842.0
1005,-0.032380011975665195,0.08734505226870301,1.019645817943692,7.5,118.5,111.0,1846.0
1006,0.054638297587168254,0.036718075341434855,1.1791481033920903,127.0,122.0,96.5,1849.0
1007,0.061038790406417166,0.39526632693033376,1.206755607061887,26.0,102.0,55.0,1850.0
1008,0.04842730052464535,-0.06145280422047688,1.1411240388691524,27.5,68.0,55.5,1853.0
1009,0.08760608505870392,0.49870681033069253,1.2330560054139643,100.0,48.0,1.0,1855.0
1010,0.22628656729086327,0.564279301511349,1.525890965052448,11.5,86.0,37.5,1857.0
1011,0.059785835435407386,-0.06171516140715909,1.164923922326663,7.0,4.5,4.0,1859.0
1012,-0.014243397039222555,0.35217862007607675,1.0508411351411338,94.5,43.5,0.5,1860.0
1013,1.0555525301360242,1.3533382500563236,3.147734567305412,109.0,56.5,12.5,1862.0
1014,0.6457910571843299,1.0004874737675438,2.335437602434458,77.5,30.5,118.0,1870.0
1015,-0.0008147258358090672,0.27905241406585934,1.1053118951143739,119.5,64.5,21.0,1872.0
